age,sex,country,population
90-94,female,BFA,1082.0
95+,female,BFA,56.0
all-a,female,BFA,10657259.0
<1,male,BFA,348957.60000000003
1-4,male,BFA,1395830.4
5-9,male,BFA,1624402.0
10-14,male,BFA,1403786.0
15-19,male,BFA,1160022.0
20-24,male,BFA,960592.0
25-29,male,BFA,800092.0
30-34,male,BFA,686587.0
35-39,male,BFA,574869.0
40-44,male,BFA,450485.0
45-49,male,BFA,333905.0
50-54,male,BFA,258062.0
55-59,male,BFA,198875.0
60-64,male,BFA,145596.0
65-69,male,BFA,96232.0
70-74,male,BFA,65880.0
75-79,male,BFA,38841.0
80-84,male,BFA,14963.0
85-89,male,BFA,3675.0
90-94,male,BFA,417.0
95+,male,BFA,6.0
all-a,male,BFA,10562075.0
<1,female,BGD,1541276.8
1-4,female,BGD,6165107.2
5-9,female,BGD,7625233.0
10-14,female,BGD,8347895.0
15-19,female,BGD,8732802.0
20-24,female,BGD,8317730.0
25-29,female,BGD,7302743.0
30-34,female,BGD,6762514.0
35-39,female,BGD,6185138.0
40-44,female,BGD,4971931.0
45-49,female,BGD,4330660.0
50-54,female,BGD,3554632.0
55-59,female,BGD,2940142.0
60-64,female,BGD,2376035.0
65-69,female,BGD,1872352.0
70-74,female,BGD,1336918.0
75-79,female,BGD,909836.0
80-84,female,BGD,513003.00000000006
85-89,female,BGD,227704.0
90-94,female,BGD,65297.0
95+,female,BGD,9029.0
all-a,female,BGD,84087978.0
<1,male,BGD,1625010.4000000001
1-4,male,BGD,6500041.6
5-9,male,BGD,8169265.0
10-14,male,BGD,8643059.0
15-19,male,BGD,8262379.999999999
20-24,male,BGD,7465615.0
25-29,male,BGD,6658473.0
30-34,male,BGD,6143627.0
35-39,male,BGD,5720471.0
40-44,male,BGD,4716185.0
45-49,male,BGD,4014610.0
50-54,male,BGD,3478565.0
55-59,male,BGD,3018667.0
60-64,male,BGD,2503503.0
65-69,male,BGD,1878365.0
70-74,male,BGD,1290031.0
75-79,male,BGD,830266.0
80-84,male,BGD,420188.0
85-89,male,BGD,156365.0
90-94,male,BGD,35406.0
95+,male,BGD,3551.0
all-a,male,BGD,81533644.0
<1,female,BGR,31153.600000000002
1-4,female,BGR,124614.4
5-9,female,BGR,164975.0
10-14,female,BGR,166370.0
15-19,female,BGR,151806.0
20-24,female,BGR,146430.0
25-29,female,BGR,189911.0
30-34,female,BGR,231703.0
35-39,female,BGR,231040.0
40-44,female,BGR,258610.0
45-49,female,BGR,254785.0
50-54,female,BGR,237635.0
55-59,female,BGR,240704.0
60-64,female,BGR,251897.0
65-69,female,BGR,258555.0
70-74,female,BGR,245512.0
75-79,female,BGR,174599.0
80-84,female,BGR,124010.0
85-89,female,BGR,72157.0
90-94,female,BGR,21570.0
95+,female,BGR,3645.0
all-a,female,BGR,3581682.0
<1,male,BGR,32948.0
1-4,male,BGR,131792.0
5-9,male,BGR,174562.0
10-14,male,BGR,175855.0
15-19,male,BGR,161167.0
20-24,male,BGR,155207.0
25-29,male,BGR,200703.0
30-34,male,BGR,244744.0
35-39,male,BGR,248903.0
40-44,male,BGR,274237.0
45-49,male,BGR,267727.0
50-54,male,BGR,241945.0
55-59,male,BGR,233061.0
60-64,male,BGR,222927.0
65-69,male,BGR,205267.0
70-74,male,BGR,172574.0
75-79,male,BGR,109273.0
80-84,male,BGR,68225.0
85-89,male,BGR,36787.0
90-94,male,BGR,10034.0
95+,male,BGR,1577.0
all-a,male,BGR,3369515.0
<1,female,BHS,2244.0
1-4,female,BHS,8976.0
5-9,female,BHS,13079.0
10-14,female,BHS,14169.0
15-19,female,BHS,13870.0
20-24,female,BHS,15860.0
25-29,female,BHS,17298.0
30-34,female,BHS,15900.0
35-39,female,BHS,14803.0
40-44,female,BHS,14473.0
45-49,female,BHS,14806.0
50-54,female,BHS,14404.0
55-59,female,BHS,12157.0
60-64,female,BHS,9200.0
65-69,female,BHS,7206.0
70-74,female,BHS,6469.0
75-79,female,BHS,4988.0
80-84,female,BHS,3038.0
85-89,female,BHS,1666.0
90-94,female,BHS,767.0
95+,female,BHS,356.0
all-a,female,BHS,205729.0
<1,male,BHS,2303.2000000000003
1-4,male,BHS,9212.8
5-9,male,BHS,13383.0
10-14,male,BHS,14413.0
15-19,male,BHS,13926.0
20-24,male,BHS,15515.0
25-29,male,BHS,16445.0
30-34,male,BHS,14587.0
35-39,male,BHS,13344.0
40-44,male,BHS,13048.0
45-49,male,BHS,13381.0
50-54,male,BHS,12987.0
55-59,male,BHS,10707.0
60-64,male,BHS,7925.0
65-69,male,BHS,5938.0
70-74,male,BHS,4952.0
75-79,male,BHS,4011.9999999999995
80-84,male,BHS,2284.0
85-89,male,BHS,993.0
90-94,male,BHS,355.0
95+,male,BHS,101.0
all-a,male,BHS,189812.0
<1,female,BIH,13575.2
1-4,female,BIH,54300.8
5-9,female,BIH,70677.0
10-14,female,BIH,79660.0
15-19,female,BIH,85036.0
20-24,female,BIH,88185.0
25-29,female,BIH,79437.0
30-34,female,BIH,96449.0
35-39,female,BIH,119358.0
40-44,female,BIH,132378.0
45-49,female,BIH,113990.0
50-54,female,BIH,118845.0
55-59,female,BIH,140269.0
60-64,female,BIH,137262.0
65-69,female,BIH,124109.0
70-74,female,BIH,90676.0
75-79,female,BIH,71117.0
80-84,female,BIH,66875.0
85-89,female,BIH,39972.0
90-94,female,BIH,16849.0
95+,female,BIH,4586.0
all-a,female,BIH,1743606.0
<1,male,BIH,14527.0
1-4,male,BIH,58108.0
5-9,male,BIH,75931.0
10-14,male,BIH,85777.0
15-19,male,BIH,91909.0
20-24,male,BIH,97126.0
25-29,male,BIH,90197.0
30-34,male,BIH,104288.0
35-39,male,BIH,121172.0
40-44,male,BIH,126639.0
45-49,male,BIH,109790.0
50-54,male,BIH,111151.0
55-59,male,BIH,125560.0
60-64,male,BIH,118411.0
65-69,male,BIH,98211.0
70-74,male,BIH,64218.0
75-79,male,BIH,41411.0
80-84,male,BIH,30583.0
85-89,male,BIH,12505.0
90-94,male,BIH,2732.0
95+,male,BIH,170.0
all-a,male,BIH,1580416.0
<1,female,BLR,50779.0
1-4,female,BLR,203116.0
5-9,female,BLR,278683.0
10-14,female,BLR,244089.0
15-19,female,BLR,214505.0
20-24,female,BLR,225733.0
25-29,female,BLR,307005.0
30-34,female,BLR,375616.0
35-39,female,BLR,365684.0
40-44,female,BLR,337177.0
45-49,female,BLR,333950.0
50-54,female,BLR,332119.0
55-59,female,BLR,386446.0
60-64,female,BLR,381330.0
65-69,female,BLR,312060.0
70-74,female,BLR,226681.0
75-79,female,BLR,159408.0
80-84,female,BLR,168052.0
85-89,female,BLR,79790.0
90-94,female,BLR,30582.0
95+,female,BLR,4724.0
all-a,female,BLR,5017529.0
<1,male,BLR,53785.8
1-4,male,BLR,215143.2
5-9,male,BLR,295867.0
10-14,male,BLR,258091.99999999997
15-19,male,BLR,226612.0
20-24,male,BLR,240011.0
25-29,male,BLR,321146.0
30-34,male,BLR,392276.0
35-39,male,BLR,369379.0
40-44,male,BLR,325416.0
45-49,male,BLR,304304.0
50-54,male,BLR,290128.0
55-59,male,BLR,321336.0
60-64,male,BLR,286083.0
65-69,male,BLR,200212.0
70-74,male,BLR,127367.0
75-79,male,BLR,67864.0
80-84,male,BLR,57294.0
85-89,male,BLR,22112.0
90-94,male,BLR,7319.0
95+,male,BLR,894.0
all-a,male,BLR,4382641.0
<1,female,BLZ,3767.4
1-4,female,BLZ,15069.6
5-9,female,BLZ,17841.0
10-14,female,BLZ,18748.0
15-19,female,BLZ,19362.0
20-24,female,BLZ,18894.0
25-29,female,BLZ,17880.0
30-34,female,BLZ,16023.0
35-39,female,BLZ,13918.0
40-44,female,BLZ,11814.0
45-49,female,BLZ,10403.0
50-54,female,BLZ,8392.0
55-59,female,BLZ,6849.0
60-64,female,BLZ,5078.0
65-69,female,BLZ,3508.0
70-74,female,BLZ,2264.0
75-79,female,BLZ,1410.0
80-84,female,BLZ,879.0
85-89,female,BLZ,452.0
90-94,female,BLZ,153.0
95+,female,BLZ,30.0
all-a,female,BLZ,192735.0
<1,male,BLZ,3951.4
1-4,male,BLZ,15805.6
5-9,male,BLZ,18696.0
10-14,male,BLZ,19384.0
15-19,male,BLZ,19796.0
20-24,male,BLZ,19329.0
25-29,male,BLZ,18392.0
30-34,male,BLZ,16209.0
35-39,male,BLZ,13679.0
40-44,male,BLZ,11555.0
45-49,male,BLZ,10077.0
50-54,male,BLZ,8297.0
55-59,male,BLZ,6862.0
60-64,male,BLZ,5002.0
65-69,male,BLZ,3482.0
70-74,male,BLZ,2233.0
75-79,male,BLZ,1389.0
80-84,male,BLZ,857.0
85-89,male,BLZ,402.0
90-94,male,BLZ,129.0
95+,male,BLZ,20.0
