country,risk_factor,exposure_g_per_day,source_country,source_year
GMB,whole_grains,58.1183974,GMB,2020
GNB,fruits,62.20923079,GNB,2020
GNB,legumes,1.602871341,GNB,2020
GNB,nuts_seeds,8.172502993,GNB,2020
GNB,omega3,0.03981969941,GNB,2020
GNB,processed_meat,4.071847784,GNB,2020
GNB,red_meat,25.03846252,GNB,2020
GNB,vegetables,19.81756141,GNB,2020
GNB,whole_grains,26.06075614,GNB,2020
GNQ,fruits,142.7516086,GNQ,2020
GNQ,legumes,8.064175183,GNQ,2020
GNQ,nuts_seeds,18.32866704,GNQ,2020
GNQ,omega3,1.059224194,GNQ,2020
GNQ,processed_meat,8.515662267,GNQ,2020
GNQ,red_meat,37.31872918,GNQ,2020
GNQ,vegetables,38.70250206,GNQ,2020
GNQ,whole_grains,35.01062377,GNQ,2020
GRC,fruits,266.4677262,GRC,2020
GRC,legumes,5.666507862,GRC,2020
GRC,nuts_seeds,6.652080059,GRC,2020
GRC,omega3,0.328989394,GRC,2020
GRC,processed_meat,9.361979988,GRC,2020
GRC,red_meat,64.54677548,GRC,2020
GRC,vegetables,236.295108,GRC,2020
GRC,whole_grains,21.32884891,GRC,2020
GRD,fruits,182.8483958,GRD,2020
GRD,legumes,3.445304801,GRD,2020
GRD,nuts_seeds,0.9073930966,GRD,2020
GRD,omega3,0.5040332463,GRD,2020
GRD,processed_meat,4.578879007,GRD,2020
GRD,red_meat,19.32144671,GRD,2020
GRD,vegetables,86.38651587,GRD,2020
GRD,whole_grains,17.2483717,GRD,2020
GTM,fruits,90.7558451,GTM,2020
GTM,legumes,9.803612506,GTM,2020
GTM,nuts_seeds,4.22850113,GTM,2020
GTM,omega3,0.1465672888,GTM,2020
GTM,processed_meat,2.62649306,GTM,2020
GTM,red_meat,26.03582368,GTM,2020
GTM,vegetables,82.98624446,GTM,2020
GTM,whole_grains,111.8376711,GTM,2020
GUF,fruits,128.194915,FRA,2020
GUF,legumes,3.951915593,FRA,2020
GUF,nuts_seeds,3.920607908,FRA,2020
GUF,omega3,0.544463035,FRA,2020
GUF,processed_meat,22.69572351,FRA,2020
GUF,red_meat,91.34336304,FRA,2020
GUF,vegetables,119.621798,FRA,2020
GUF,whole_grains,28.469707,FRA,2020
GUY,fruits,254.3270898,GUY,2020
GUY,legumes,8.734318245,GUY,2020
GUY,nuts_seeds,2.873888233,GUY,2020
GUY,omega3,0.5517510007,GUY,2020
GUY,processed_meat,2.988335371,GUY,2020
GUY,red_meat,10.78878073,GUY,2020
GUY,vegetables,214.3057681,GUY,2020
GUY,whole_grains,13.00859614,GUY,2020
HND,fruits,81.86362625,HND,2020
HND,legumes,7.442094469,HND,2020
HND,nuts_seeds,0.514727627,HND,2020
HND,omega3,0.1388491389,HND,2020
HND,processed_meat,1.840201474,HND,2020
HND,red_meat,18.99953575,HND,2020
HND,vegetables,48.15902521,HND,2020
HND,whole_grains,96.26280541,HND,2020
HRV,fruits,128.2228982,HRV,2020
HRV,legumes,1.14921676,HRV,2020
HRV,nuts_seeds,3.127892618,HRV,2020
HRV,omega3,0.2994516357,HRV,2020
HRV,processed_meat,6.097860106,HRV,2020
HRV,red_meat,62.50976029,HRV,2020
HRV,vegetables,107.65163,HRV,2020
HRV,whole_grains,25.23790072,HRV,2020
HTI,fruits,133.2314651,HTI,2020
HTI,legumes,8.702078591,HTI,2020
HTI,nuts_seeds,2.130851666,HTI,2020
HTI,omega3,0.09107177696,HTI,2020
HTI,processed_meat,1.800824489,HTI,2020
HTI,red_meat,18.11336292,HTI,2020
HTI,vegetables,26.48811361,HTI,2020
HTI,whole_grains,33.01546784,HTI,2020
HUN,fruits,102.2696796,HUN,2020
HUN,legumes,5.332494501,HUN,2020
HUN,nuts_seeds,0.9930907149,HUN,2020
HUN,omega3,0.2698579237,HUN,2020
HUN,processed_meat,13.06017615,HUN,2020
HUN,red_meat,43.51588569,HUN,2020
HUN,vegetables,161.6575237,HUN,2020
HUN,whole_grains,20.84922884,HUN,2020
IDN,fruits,94.9758639,IDN,2020
IDN,legumes,3.444960062,IDN,2020
IDN,nuts_seeds,4.215750024,IDN,2020
IDN,omega3,0.9135601517,IDN,2020
IDN,processed_meat,1.01721831,IDN,2020
IDN,red_meat,8.562554923,IDN,2020
IDN,vegetables,75.73511405,IDN,2020
IDN,whole_grains,23.63970949,IDN,2020
IND,fruits,18.42396463,IND,2020
IND,legumes,14.39809808,IND,2020
IND,nuts_seeds,2.637254027,IND,2020
IND,omega3,0.2387286989,IND,2020
IND,processed_meat,1.119854586,IND,2020
IND,red_meat,4.257444248,IND,2020
IND,vegetables,119.3773311,IND,2020
IND,whole_grains,43.44894099,IND,2020
IRL,fruits,106.3191789,IRL,2020
IRL,legumes,3.056403766,IRL,2020
IRL,nuts_seeds,3.877657788,IRL,2020
IRL,omega3,0.6620546255,IRL,2020
IRL,processed_meat,18.85810373,IRL,2020
IRL,red_meat,75.32547727,IRL,2020
IRL,vegetables,157.4522804,IRL,2020
IRL,whole_grains,31.82610882,IRL,2020
IRN,fruits,267.706859,IRN,2020
IRN,legumes,3.877309157,IRN,2020
IRN,nuts_seeds,5.4525372,IRN,2020
IRN,omega3,0.3073584186,IRN,2020
IRN,processed_meat,2.883906657,IRN,2020
IRN,red_meat,21.13682718,IRN,2020
IRN,vegetables,200.4621523,IRN,2020
